hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
soft,20,6,,STAND,0.6972150593089221,19751
soft,20,7,,STAND,0.7734729934376571,24031
soft,20,8,,STAND,0.7890388208428485,24331
soft,20,9,,STAND,0.7585775204412989,25835
soft,20,10,,STAND,0.5531816370704654,93775
soft,20,11,,STAND,0.6608326040755135,16182
soft,21,2,,STAND,0.8768895348837222,6935
soft,21,3,,STAND,0.89154334038055,4793
soft,21,4,,STAND,0.8902751119641727,6297
soft,21,5,,STAND,0.8821096173733195,1955
soft,21,6,,STAND,0.8987209058502849,4818
soft,21,7,,STAND,0.9245880026367823,7649
soft,21,8,,STAND,0.9285338938518104,7690
soft,21,9,,STAND,0.9397331037451557,9367
soft,21,10,,STAND,0.961745220940868,45187
soft,21,11,,STAND,0.9198011821601315,7512
