hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,21,6,,STAND,0.8919533693488753,3558
hard,21,7,,STAND,0.9282090868989838,54914
hard,21,8,,STAND,0.9292619852794859,50719
hard,21,9,,STAND,0.9398414253238959,54581
hard,21,10,,STAND,0.962678918110658,167222
hard,21,11,,STAND,0.9065284425190622,53314
pair,10,2,,STAND,0.6332513817771785,110012
pair,10,3,,STAND,0.6424125528782625,109279
pair,10,4,,STAND,0.6570765445852433,109593
pair,10,5,,STAND,0.6674477840040659,109891
pair,10,6,,STAND,0.6732777102339701,109737
pair,10,7,,STAND,0.7743904143412179,109181
pair,10,8,,STAND,0.7884987173290757,109572
pair,10,9,,STAND,0.757362600504975,109289
pair,10,10,,STAND,0.5600517616489566,394831
pair,10,11,,STAND,0.6004460686838298,75793
pair,2,2,,HIT,-0.12142381902860969,6155
pair,2,3,,SPLIT,-0.005128525861529695,16124
pair,2,4,,HIT,-0.03443567961165057,6739
pair,2,5,,SPLIT,0.06908031627132777,9449
pair,2,6,,HIT,0.019938650306748486,6671
pair,2,7,,SPLIT,-0.0038754921259842867,16401
pair,2,8,,HIT,-0.1720915243312918,6529
pair,2,9,,HIT,-0.25000000000000056,6550
pair,2,10,,SPLIT,-0.23483832013954073,60103
pair,2,11,,HIT,-0.29025570145127777,4579
pair,3,2,,SPLIT,-0.07870314571531893,16771
pair,3,3,,HIT,-0.12862287772251774,6057
pair,3,4,,SPLIT,0.009231805929919153,15538
pair,3,5,,STAND,-0.15318684743649671,6568
pair,3,6,,SPLIT,0.04812834224598926,6943
pair,3,7,,SPLIT,-0.036183022275737844,16753
pair,3,8,,SPLIT,-0.13872832369942262,16047
pair,3,9,,HIT,-0.31147540983606464,6498
pair,3,10,,SPLIT,-0.25585236847813614,60400
pair,3,11,,SPLIT,-0.2753098706233599,11291
pair,4,2,,HIT,-0.027098172808919206,6591
pair,4,3,,HIT,0.012461059190031184,6626
pair,4,4,,HIT,0.045229681978798564,6315
pair,4,5,,HIT,0.09217016029593114,7002
pair,4,6,,DOUBLE,0.06669754515979634,6621
pair,4,7,,HIT,0.08768457908357426,6693
pair,4,8,,HIT,-0.06641104294478521,6685
pair,4,9,,HIT,-0.20213577421815382,6789
pair,4,10,,HIT,-0.24505231312239958,24461
pair,4,11,,HIT,-0.2522113858017683,4513
pair,5,2,,DOUBLE,0.3698284561049448,6572
pair,5,3,,DOUBLE,0.3754224270353291,6647
pair,5,4,,DOUBLE,0.49573170731707394,6686
pair,5,5,,DOUBLE,0.5543918918918915,6037
pair,5,6,,DOUBLE,0.586458679057419,6683
pair,5,7,,DOUBLE,0.41058201058201044,6727
pair,5,8,,DOUBLE,0.2673189206249017,6676
pair,5,9,,DOUBLE,0.15116102595234496,6732
pair,5,10,,HIT,0.02148808050812506,24795
pair,5,11,,HIT,0.017841409691629947,4684
pair,6,2,,SPLIT,-0.09488343929760885,16709
pair,6,3,,SPLIT,-0.054745774310544955,15381
pair,6,4,,SPLIT,-0.012845649381380565,15385
pair,6,5,,SPLIT,0.055992141453830996,16429
pair,6,6,,SPLIT,0.06695019892989443,14719
pair,6,7,,SPLIT,-0.14461770623742445,16148
